open_secrets_id,full_name,first_name,last_name,state,chamber,top_donors_link,website,twitter,facebook,instagram,youtube,picture
N00029736,Glenn Thompson,Glenn,Thompson,Pa.,House ,https://www.opensecrets.org/members-of-congress/glenn-thompson/contributors?cid=N00029736&cycle=2020&recs=100&type=C,thompson.house.gov,GT_TeamGT,CongressmanGT,congressman_gt,UCNWX7lbWWvnNdzVMFI9DRiQ,glenn_thompson.png
N00030752,Jeff Duncan,Jeff,Duncan,S.C.,House ,https://www.opensecrets.org/members-of-congress/jeff-duncan/contributors?cid=N00030752&cycle=2020&recs=100&type=C,jeffduncan.house.gov,RepJeffDuncan,,repjeffduncan,UC1tuXL6ymImdpKYGEAH83QA,jeff_duncan.png
N00027783,Ralph Norman,Ralph,Norman,S.C.,House ,https://www.opensecrets.org/members-of-congress/ralph-norman/contributors?cid=N00027783&cycle=2020&recs=100&type=C,norman.house.gov,RalphNorman,RepRalphNorman,repralphnorman,UCVVIZjUpGRB1pgQGDBVBU8Q,ralph_norman.png
N00033832,Tom Rice,Tom,Rice,S.C.,House ,https://www.opensecrets.org/members-of-congress/tom-rice/contributors?cid=N00033832&cycle=2020&recs=100&type=C,rice.house.gov,RepTomRice,TomRiceforCongress,reptomrice,,tom_rice.png
N00042715,William Timmons,William,Timmons,S.C.,House ,https://www.opensecrets.org/members-of-congress/william-timmons/contributors?cid=N00042715&cycle=2020&recs=100&type=C,timmons.house.gov,RepTimmons,RepTimmons,votetimmons,,william_timmons.png
N00024809,Joe Wilson,Joe,Wilson,S.C.,House ,https://www.opensecrets.org/members-of-congress/joe-wilson/contributors?cid=N00024809&cycle=2020&recs=100&type=C,joewilson.house.gov,RepJoeWilson,JoeWilson,repjoewilson,UC3aR1B8m7Z1uycO65yDnpCg,joe_wilson.png
N00041594,Tim Burchett,Tim,Burchett,Tenn.,House ,https://www.opensecrets.org/members-of-congress/tim-burchett/contributors?cid=N00041594&cycle=2020&recs=100&type=C,burchett.house.gov,timburchett,RepTimBurchett,reptimburchett,UCK8lhcSRMq63lrR-WRLiSlQ,tim_burchett.png
N00030957,Scott DesJarlais,Scott,DesJarlais,Tenn.,House ,https://www.opensecrets.org/members-of-congress/scott-desjarlais/contributors?cid=N00030957&cycle=2020&recs=100&type=C,desjarlais.house.gov,DesJarlaisTN04,ScottDesJarlaisTN04,desjarlaistn04,UCvjuSLoi3hS0ECQvJLhwOkA,scott_desjarlais.png
N00030815,Chuck Fleischmann,Chuck,Fleischmann,Tenn.,House ,https://www.opensecrets.org/members-of-congress/chuck-fleischmann/contributors?cid=N00030815&cycle=2020&recs=100&type=C,fleischmann.house.gov,RepChuck,repchuck,repchuck,,chuck_fleischmann.png
N00041873,Mark E. Green,Mark,Green,Tenn.,House ,https://www.opensecrets.org/members-of-congress/mark-green/contributors?cid=N00041873&cycle=2020&recs=100&type=C,markgreen.house.gov,RepMarkGreen,RepMarkGreenTN,repmarkgreen,,mark_e._green.png
,Diana Harshbarger,Diana,Harshbarger,Tenn.,House ,,votediana.com,DHarshbargerTN1,DianaforCongress,dianaforcongress,UCNUslkMd-zdXIEiLtaiQyag,diana_harshbarger.png
N00025445,David Kustoff,David,Kustoff,Tenn.,House ,https://www.opensecrets.org/members-of-congress/david-kustoff/contributors?cid=N00025445&cycle=2020&recs=100&type=C,kustoff.house.gov,RepDavidKustoff,KustoffForCongress,repdavidkustoff,UCLjScc7fN6399KBWFJ872HQ,david_kustoff.png
N00041599,John Rose,John,Rose,Tenn.,House ,https://www.opensecrets.org/members-of-congress/john-rose/contributors?cid=N00041599&cycle=2020&recs=100&type=C,johnrose.house.gov,JohnRoseforTN,repjohnrose,repjohnrose,,john_rose.png
N00038285,Jodey Arrington,Jodey,Arrington,Texas,House ,https://www.opensecrets.org/members-of-congress/jodey-arrington/contributors?cid=N00038285&cycle=2020&recs=100&type=C,arrington.house.gov,RepArrington,JodeyArrington,repjodeyarrington,UCAf63O_xxY9Jtnodr4eGBbg,jodey_arrington.png
N00005736,Brian Babin,Brian,Babin,Texas,House ,https://www.opensecrets.org/members-of-congress/brian-babin/contributors?cid=N00005736&cycle=2020&recs=100&type=C,babin.house.gov,Babin4Congress,RepBrianBabin,,UCPVEZgw-VbDRbLV1MRGVQNQ,brian_babin.png
N00025219,Michael C. Burgess,Michael,Burgess,Texas,House ,https://www.opensecrets.org/members-of-congress/michael-burgess/contributors?cid=N00025219&cycle=2020&recs=100&type=C,burgess.house.gov,michaelcburgess,michaelcburgess,repmichaelburgess,,michael_c._burgess.png
N00025095,John R. Carter,John,Carter,Texas,House ,https://www.opensecrets.org/members-of-congress/john-carter/contributors?cid=N00025095&cycle=2020&recs=100&type=C,Play trailer on YouTube,johncarter,JohnCarterMovie,,,john_r._carter.png
N00041882,Michael Cloud,Michael,Cloud,Texas,House ,https://www.opensecrets.org/members-of-congress/michael-cloud/contributors?cid=N00041882&cycle=2020&recs=100&type=C,cloud.house.gov,MichaelJCloud,RepCloudTX,repcloudtx,UCv_kM3OZukHS0rjWpw_JMWg,michael_cloud.png
,Pat Fallon,Pat,Fallon,Texas,House ,,fallonforcongress.com,fallonfortexas,fallonfortexas/,fallonfortexas/,,pat_fallon.png
N00026148,Louie Gohmert,Louie,Gohmert,Texas,House ,https://www.opensecrets.org/members-of-congress/louie-gohmert/contributors?cid=N00026148&cycle=2020&recs=100&type=C,gohmert.house.gov,LouieGohmertTX1,RepLouieGohmert,replouiegohmert,UC0HMa6X3iMhMq96kkRLLTog,louie_gohmert.png
N00042237,Lance Gooden,Lance,Gooden,Texas,House ,https://www.opensecrets.org/members-of-congress/lance-gooden/contributors?cid=N00042237&cycle=2020&recs=100&type=C,gooden.house.gov,Lancegooden,lancegoodenfortexas,,UCaEs0pYlL_1cLlPBHfl0RIg,lance_gooden.png
,Ronny Jackson,Ronny,Jackson,Texas,House ,,ronnyjacksontx.com,RonnyJackson4TX,RonnyJackson4Texas13,ronnyjackson4texas13/,,ronny_jackson.png
,Troy Nehls,Troy,Nehls,Texas,House ,,nehlsforcongress.com,SheriffTNehls,SheriffTNehls,,,troy_nehls.png
,August Pfluger,August,Pfluger,Texas,House ,,pfluger.house.gov,augustpfluger,AugustPflugerTX/,augustpflugertx/,,august_pfluger.png
N00005681,Pete Sessions,Pete,Sessions,Texas,House ,https://www.opensecrets.org/members-of-congress/pete-sessions/contributors?cid=N00005681&cycle=2020&recs=100&type=C,sessions.house.gov,PeteSessions,petesessions,congressmanpetesessions,,pete_sessions.png
,Beth Van Duyne,Beth,Van Duyne,Texas,House ,,bethfortexas.com,Bethvanduyne,BethVanDuyneTX,bethvanduynetx,,beth_van_duyne.png
N00033539,Randy Weber,Randy,Weber,Texas,House ,https://www.opensecrets.org/members-of-congress/randy-weber/contributors?cid=N00033539&cycle=2020&recs=100&type=C,weber.house.gov,TXRandy14,TXRandy14,txrandy14,UCJSZRrAcd5i1bHLjR66PZdg,randy_weber.png
N00030602,Roger Williams,Roger,Williams,Texas,House ,https://www.opensecrets.org/members-of-congress/roger-williams/contributors?cid=N00030602&cycle=2020&recs=100&type=C,williams.house.gov,RogerWilliamsTX,rogerwilliamstx,reprwilliams,UCBtfmMMQarjtLB9U_pWMOhw,roger_williams.png
N00042240,Ron Wright,Ron,Wright,Texas,House ,https://www.opensecrets.org/members-of-congress/ron-wright/contributors?cid=N00042240&cycle=2020&recs=100&type=C,wright.house.gov,RepRonWright,wright4congress,wright4congress,UCPcScwg3VXeusn8tUaenkAA,ron_wright.png
,Burgess Owens,Burgess,Owens,Utah,House ,,burgess4utah.com,BurgessOwens,burgess.owens,burgessowens,,burgess_owens.png
N00033932,Chris Stewart,Chris,Stewart,Utah,House ,https://www.opensecrets.org/members-of-congress/chris-stewart/contributors?cid=N00033932&cycle=2020&recs=100&type=C,stewart.house.gov,RepChrisStewart,RepChrisStewart,repchrisstewart,RepChrisStewart,chris_stewart.png
N00042296,Ben Cline,Ben,Cline,Va.,House ,https://www.opensecrets.org/members-of-congress/ben-cline/contributors?cid=N00042296&cycle=2020&recs=100&type=C,cline.house.gov,RepBenCline,RepBenCline,benclineforcongress,UCQYI19aNR1xdhX2BCkDQSGg,ben_cline.png
,Bob Good,Bob,Good,Va.,House ,,bobgoodforcongress.com,goodforcongress,,,,bob_good.png
N00032029,Morgan Griffith,Morgan,Griffith,Va.,House ,https://www.opensecrets.org/members-of-congress/morgan-griffith/contributors?cid=N00032029&cycle=2020&recs=100&type=C,morgangriffith.house.gov,RepMGriffith,morgan.griffith.94,hmorgangriffith,UCzxqD7EY_Rdvbc0spbaYkJA,morgan_griffith.png
N00029459,Robert J. Wittman,Robert,Wittman,Va.,House ,https://www.opensecrets.org/members-of-congress/robert-wittman/contributors?cid=N00029459&cycle=2020&recs=100&type=C,wittman.house.gov,RobWittman,RepRobWittman,reprobwittman,UCIqIb-OaTbkIdU426eYIdPg,robert_j._wittman.png
N00041542,Carol Miller,Carol,Miller,W.Va.,House ,https://www.opensecrets.org/members-of-congress/carol-miller/contributors?cid=N00041542&cycle=2020&recs=100&type=C,miller.house.gov,CarolMillerWV,carolforcongress,repcarolmiller,UCw2oLPoyGX-cLILniYOqLWA,carol_miller.png
N00033814,Alexander X. Mooney,Alexander,Mooney,W.Va.,House ,https://www.opensecrets.org/members-of-congress/alexander-mooney/contributors?cid=N00033814&cycle=2020&recs=100&type=C,mooney.house.gov,MooneyforWV,CongressmanAlexMooney,repalexmooney,UCw9CGkF4Re3areluI43TGyA,alexander_x._mooney.png
,Scott Fitzgerald,Scott,Fitzgerald,Wis.,House ,,scottfitzgeraldforcongress.com,SenFitzgerald,senfitzgerald,,,scott_fitzgerald.png
N00045307,Tom Tiffany,Tom,Tiffany,Wis.,House ,https://www.opensecrets.org/members-of-congress/tom-tiffany/contributors?cid=N00045307&cycle=2020&recs=100&type=C,tiffany.house.gov,TomTiffanyWI,TomTiffanyWI,reptiffany,UCj9CsUUaTy2G82AltjF9b5A,tom_tiffany.png
,Tommy Tuberville,Tommy,Tuberville,Ala.,Senate,,tommyforsenate.com,TTuberville,TommyForSenate,tommyforsenate,,tommy_tuberville.png
N00043290,Rick Scott,Rick,Scott,Fla.,Senate,https://www.opensecrets.org/members-of-congress/rick-scott/contributors?cid=N00043290&cycle=2020&recs=100&type=C,rickscott.senate.gov,SenRickScott,RickScottSenOffice,flsenrickscott,UC-Y9pFmW4PYGZHkC8lcqSkQ,rick_scott.png
N00037034,Roger Marshall,Roger,Marshall,Kan.,Senate,https://www.opensecrets.org/members-of-congress/roger-marshall/contributors?cid=N00037034&cycle=2020&recs=100&type=C,kansansformarshall.com,RepMarshall,RogerMarshallMD,rogermarshallmd,UCR3nOFMqBB-kRpKFwgapMaQ,roger_marshall.png
N00034044,John Kennedy,John,Kennedy,La.,Senate,https://www.opensecrets.org/members-of-congress/john-kennedy/contributors?cid=N00034044&cycle=2020&recs=100&type=C,kennedy.senate.gov,SenJohnKennedy,JohnKennedyLouisiana,SenJohnKennedy,UCDgjkA5Y_npoxeUiSW18JZQ,john_kennedy.png
N00043298,Cindy Hyde-Smith,Cindy,Hyde-Smith,Miss.,Senate,https://www.opensecrets.org/members-of-congress/cindy-hyde-smith/contributors?cid=N00043298&cycle=2020&recs=100&type=C,hydesmith.senate.gov,SenHydeSmith,CindyHydeSmith2018,sencindyhydesmith,UCJHxkJhGST0NTlkzJHWV03Q,cindy_hyde-smith.png
N00041620,Josh Hawley,Josh,Hawley,Mo.,Senate,https://www.opensecrets.org/members-of-congress/josh-hawley/contributors?cid=N00041620&cycle=2020&recs=100&type=C,hawley.senate.gov,SenHawleyPress,HawleyMO,joshhawleymo,SenatorJoshHawley,josh_hawley.png
N00033085,Ted Cruz,Ted,Cruz,Texas,Senate,https://www.opensecrets.org/members-of-congress/ted-cruz/contributors?cid=N00033085&cycle=2020&recs=100&type=C,cruz.senate.gov,SenTedCruz,SenatorTedCruz,sentedcruz,UCOTZ-6H1rri1lSsj6IzhUyw,ted_cruz.png
N00029788,Cynthia Lummis,Cynthia,Lummis,Wyo.,Senate,https://www.opensecrets.org/members-of-congress/cynthia-lummis/contributors?cid=N00029788&cycle=2020&recs=100&type=C,lummisforwyoming.com,CynthiaLummis,LummisforWyoming,cynthia_lummis,UCHUgylNGQo407Ij02pvb-UQ,cynthia_lummis.png
