open_secrets_id,full_name,first_name,last_name,state,chamber,top_donors_link,website,twitter,facebook,instagram,youtube,picture
N00039503,Matt Gaetz,Matt,Gaetz,Fla.,House ,https://www.opensecrets.org/members-of-congress/matt-gaetz/contributors?cid=N00039503&cycle=2020&recs=100&type=C,mattgaetz.com,RepMattGaetz,RepresentativeMattGaetz,repmattgaetz,UClqXcJew_A3s8qiX-T4a9CA,matt_gaetz.png
,Carlos Gimenez,Carlos,Gimenez,Fla.,House ,,carlosgimenezforcongress.com,MayorGimenez,GimenezForMayor,mayorgimenez,,carlos_gimenez.png
N00037269,Brian Mast,Brian,Mast,Fla.,House ,https://www.opensecrets.org/members-of-congress/brian-mast/contributors?cid=N00037269&cycle=2020&recs=100&type=C,mast.house.gov,RepBrianMast,brian.mast.9,repbrianmast,UCFHmV3VcjZxOEFeTitzUszQ,brian_mast.png
N00029662,Bill Posey,Bill,Posey,Fla.,House ,https://www.opensecrets.org/members-of-congress/bill-posey/contributors?cid=N00029662&cycle=2020&recs=100&type=C,posey.house.gov,congbillposey,billposeycampaign,,UCoUwUkDpe1ZYd6tiaZfiMuA,bill_posey.png
N00039777,John Rutherford,John,Rutherford,Fla.,House ,https://www.opensecrets.org/members-of-congress/john-rutherford/contributors?cid=N00039777&cycle=2020&recs=100&type=C,rutherford.house.gov,RepRutherfordFL,RepRutherfordFL,jrutherfordfl,,john_rutherford.png
N00042808,Greg Steube,Greg,Steube,Fla.,House ,https://www.opensecrets.org/members-of-congress/greg-steube/contributors?cid=N00042808&cycle=2020&recs=100&type=C,steube.house.gov,RepGregSteube,RepGregSteube,repgregsteube,repgregsteube,greg_steube.png
N00026335,Daniel Webster,Daniel,Webster,Fla.,House ,https://www.opensecrets.org/members-of-congress/daniel-webster/contributors?cid=N00026335&cycle=2020&recs=100&type=C,webster.house.gov,RepWebster,ElectWebster,,UCCoX4VdU7U11eGEA0lbRtLw,daniel_webster.png
N00033720,Rick Allen,Rick,Allen,Ga.,House ,https://www.opensecrets.org/members-of-congress/rick-allen/contributors?cid=N00033720&cycle=2020&recs=100&type=C,rickallen.com,rickallenlive,theofficialrickallen,rickallenlive,,rick_allen.png
N00035346,"Earl Carter",Earl,Carter,Ga.,House ,https://www.opensecrets.org/members-of-congress/earl-carter/contributors?cid=N00035346&cycle=2020&recs=100&type=C,buddycarter.house.gov,Carter4Congress,BuddyCarterforCongress,repbuddycarter,UCHQm49T6ikD_ioMAt50AwKQ,"earl_carter.png"
,Andrew Clyde,Andrew,Clyde,Ga.,House ,,clyde4congress.com,clyde4congress,Clyde4Congress/,,,andrew_clyde.png
,Marjorie Taylor Greene,Marjorie,Taylor Greene,Ga.,House ,,marjorietaylorgreene.com,mtgreenee,MarjorieTaylorGreene,greeneforcongress,UCYfpODnmxKs0aE5-Jx--wIg,marjorie_taylor_greene.png
N00032243,Jody Hice,Jody,Hice,Ga.,House ,https://www.opensecrets.org/members-of-congress/jody-hice/contributors?cid=N00032243&cycle=2020&recs=100&type=C,hice.house.gov,CongressmanHice,CongressmanJodyHice,rep_hice,UCzUMsS8DusN2QLpgweFthgQ,jody_hice.png
N00035347,Barry Loudermilk,Barry,Loudermilk,Ga.,House ,https://www.opensecrets.org/members-of-congress/barry-loudermilk/contributors?cid=N00035347&cycle=2020&recs=100&type=C,loudermilk.house.gov,standwithbarry,RepLoudermilk,RepLoudermilk,,barry_loudermilk.png
N00041335,Russ Fulcher,Russ,Fulcher,Idaho,House ,https://www.opensecrets.org/members-of-congress/russ-fulcher/contributors?cid=N00041335&cycle=2020&recs=100&type=C,fulcher.house.gov,RussFulcher,RepRussFulcher,RepRussFulcher,UCx2AS0O5frzPB8D6TqJ3Mqg,russ_fulcher.png
N00035420,Mike Bost,Mike,Bost,Ill.,House ,https://www.opensecrets.org/members-of-congress/mike-bost/contributors?cid=N00035420&cycle=2020&recs=100&type=C,bost.house.gov,BostForCongress,MikeBostForCongress,,UCxgLCZzKuY7g_8-Iu1PSlPQ,mike_bost.png
,Mary Miller,Mary,Miller,Ill.,House ,,marymiller.house.gov,miller_congress,MaryMillerforCongress,,,mary_miller.png
N00041954,Jim Baird,Jim,Baird,Ind.,House ,https://www.opensecrets.org/members-of-congress/jim-baird/contributors?cid=N00041954&cycle=2020&recs=100&type=C,baird.house.gov,RepJimBaird,RepJimBaird,,UCAe6fGhotC9J9tR_QONYzFA,jim_baird.png
N00037185,Jim Banks,Jim,Banks,Ind.,House ,https://www.opensecrets.org/members-of-congress/jim-banks/contributors?cid=N00037185&cycle=2020&recs=100&type=C,banks.house.gov,RepJimBanks,RepJimBanks,repjimbanks,UC_FR6TySW9uxvhjozkis6Xg,jim_banks.png
N00041956,Greg Pence,Greg,Pence,Ind.,House ,https://www.opensecrets.org/members-of-congress/greg-pence/contributors?cid=N00041956&cycle=2020&recs=100&type=C,pence.house.gov,GregPenceIN,GregPenceIN,repgregpence,UCL2cxXwzTek7uXLOdwbJ3Ag,greg_pence.png
N00031226,Jackie Walorski,Jackie,Walorski,Ind.,House ,https://www.opensecrets.org/members-of-congress/jackie-walorski/contributors?cid=N00031226&cycle=2020&recs=100&type=C,walorski.house.gov,RepWalorski,RepJackieWalorski,jackiewalorski,,jackie_walorski.png
N00040712,Ron Estes,Ron,Estes,Kan.,House ,https://www.opensecrets.org/members-of-congress/ron-estes/contributors?cid=N00040712&cycle=2020&recs=100&type=C,estes.house.gov,RonEstesKS,ronesteskansas,repronestes,UC2clc28qcehIqotHQcthnWA,ron_estes.png
,Jacob LaTurner,Jacob,LaTurner,Kan.,House ,,laturner.house.gov,KansasTreasurer,JakeLaTurnerKS,kansansforlaturner,,jacob_laturner.png
,Tracey Mann,Tracey,Mann,Kan.,House ,,mann.house.gov,TraceyMannKS,TraceyMannKS,,,tracey_mann.png
N00003473,Harold Rogers,Harold,Rogers,Ky.,House ,https://www.opensecrets.org/members-of-congress/harold-rogers/contributors?cid=N00003473&cycle=2020&recs=100&type=C,halrogers.house.gov,RepHalRogers,CongressmanHalRogers,rephalrogers,UChVFKLZkRoHQDhp4zNvEezQ,harold_rogers.png
N00036135,Garret Graves,Garret,Graves,La.,House ,https://www.opensecrets.org/members-of-congress/garret-graves/contributors?cid=N00036135&cycle=2020&recs=100&type=C,garretgraves.house.gov,garretgraves,garretngraves,instagravesla,UCQLg9GGwTDluEFJtXf8seTA,garret_graves.png
N00039953,Clay Higgins,Clay,Higgins,La.,House ,https://www.opensecrets.org/members-of-congress/clay-higgins/contributors?cid=N00039953&cycle=2020&recs=100&type=C,clayhiggins.house.gov,CaptClayHiggins,CongressmanClayHiggins,repclayhiggins,UCdpfm8owcoyJkM2GK9LKRdw,clay_higgins.png
,Mike Johnson,Mike,Johnson,La.,House ,,mikejohnson.house.gov,MikeJohnson,RepMikeJohnson,repmikejohnson,UCzqBEpeIaDEfvAtsA53Fx2Q,mike_johnson.png
